UserId_Url,UserId,Tweet_Url,Date-Time,Tweets,Comments,Retweets,Likes,Impressions
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723644394304082261,21h,Calculating Loan EMI,6,767,3.3K,551K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723940742119456976,1h,List with duplicate names,1,14,66,6.5K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723921491329454245,3h,Solve this riddle,64,9,23,23K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723921491329454245,3h,Solve this riddle,64,9,23,23K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723685830114541804,18h,Could you please subscribe me ?,3,2,11,14K
,,,,,,,,
https://twitter.com/DipoPunting,Follow,,,Daily Tips & Football Lifestyle!!,,,,
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723644394304082261,21h,Calculating Loan EMI,6,767,3.3K,551K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723940742119456976,1h,List with duplicate names,1,14,66,6.5K
https://twitter.com/Locati0ns,Follow,,,Educational and informative world Maps,,,,
https://twitter.com/ExcelBasement,Follow,,,"We provide services in the form of Training, Consultancy,  Solutions, Coaching on Microsoft Office Products & Business Intelligence Tools.",,,,
,,,,,,,,
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723887376873722075,5h,IQ Test,71,7,20,23K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723879937872892341,5h,What will be the missing number ?,8,1,2,7.2K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723940742119456976,1h,List with duplicate names,1,14,66,6.5K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723777371109470606,12h,One word,47,2,9,19K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723775508016488900,12h,Can you solve this riddle ?,24,4,7,14K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723746260979708398,14h,Solve this viral riddle,45,20,,19K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723734235956252885,15h,Answer please,121,12,35,46K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723724714567225737,16h,Can you solve it ?,63,5,22,29K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723713804280992181,16h,Solve the riddle,93,9,31,30K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723702212462072175,17h,Which number is missing from empty segment ?,48,4,9,22K
https://twitter.com/exceleducations,·,https://twitter.com/exceleducations/status/1723685830114541804,18h,3,11,14K,,
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723690764688081190,18h,I will give my best if i get around 100 subscriber.,2,,,5.3K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723688639341920306,18h,How many triangles ?,19,3,6,14K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723681210671804838,19h,100% for Genius only,2,1,1,7.7K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723668769904705701,19h,Can you find the missing number ?,11,4,23,27K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723656270325088666,20h,99% will fail to solve this.,58,7,21,50K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723598332872859816,Nov 12,Solve this and share it,25,6,36,38K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723536751258374625,Nov 12,Can you solve this ?,18,4,18,31K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723536751258374625,Nov 12,Can you solve this ?,18,4,18,31K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723405154601369738,Nov 11,Share the correct answer,8,2,15,31K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723392313668272514,Nov 11,Find the missing number,186,12,78,134K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723392313668272514,Nov 11,Find the missing number,186,12,78,134K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723369035943866444,Nov 11,What will be the missing number ?,39,7,20,47K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723369035943866444,Nov 11,What will be the missing number ?,39,7,20,47K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723365172159353292,Nov 11,Understanding excel choose () function,3,279,1.4K,239K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723349431263649953,Nov 11,What should come next number ?,36,7,39,56K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723300317469511958,Nov 11,What will be the missing number ?,35,8,29,56K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723365172159353292,Nov 11,Understanding excel choose () function,3,279,1.4K,239K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723249729272680633,Nov 11,Find missing number and share it,22,5,16,27K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723191513885134872,Nov 11,Find the missing number and share its,40,16,,22K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723183116984938829,Nov 11,Excel Variance Chart,5,138,715,83K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723175668391747930,Nov 11,Find the missing number ?,17,7,,14K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723171280059281813,Nov 11,Can you find the missing letter ?,9,1,7,10K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723042494735159445,Nov 10,97% will fail this test…,102,6,14,35K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723040986421502430,Nov 10,Find X among K’s in 5 seconds,1,3,13,9.9K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1723027896455909634,Nov 10,What’s the answer?,27,14,,15K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722980288429805660,Nov 10,,171,26,71,123K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722952757433262538,Nov 10,Find the correct answer,141,15,61,93K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722952757433262538,Nov 10,Find the correct answer,141,15,61,93K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722945471142863118,Nov 10,Genius can solve this,79,6,24,42K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722892112792854922,Nov 10,Solve and share it,42,9,18,27K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722867383554228276,Nov 10,Solve and share,12,1,3,9.7K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722845385105068080,Nov 10,Fill the blank,18,3,22,29K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722820393336189371,Nov 10,Crack the logic,5,2,6,9.1K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722809763384410433,Nov 10,What  should be the missing number ?,73,7,23,35K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722789576710996231,Nov 10,What's the answer,67,6,18,32K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722678274659426350,Nov 9,,7,1,10,6.8K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722631862512955838,Nov 9,Can you solve this ??,5,1,14,11K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722655367698714951,Nov 9,Find the answer,92,10,55,76K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722631862512955838,Nov 9,Can you solve this ??,5,1,14,11K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722476120837411272,Nov 9,Find x,47,5,32,52K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722452097457861034,Nov 9,Find the value of D,151,29,98,152K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722442422418874675,Nov 9,What’s the answer ?,35,2,14,16K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722416861672026273,Nov 9,Can you solve this ??,7,6,,5.7K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722405125526827088,Nov 9,Solve this puzzle,3,4,,6.6K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722391652340523294,Nov 9,Solve answer,5,7,15,16K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722367905411813741,Nov 9,Fine a,7,5,,7.1K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722314587540975689,Nov 8,Who can solve it?,37,3,17,20K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722311988972519797,Nov 8,Find x and y,5,3,,5.9K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722286811396145342,Nov 8,Fine the answer,76,10,49,76K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722263853810250064,Nov 8,,10,10,,12K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722236905948106880,Nov 8,Quiz of the day,18,8,,10K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722212953716576302,Nov 8,Find the missing number,39,8,20,44K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722176478887154156,Nov 8,Find the answer???,39,4,15,34K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722152214351970787,Nov 8,What the answer??,17,3,17,18K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722126996036374687,Nov 8,,8,6,29,32K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722089729427214422,Nov 8,Solve for x,8,2,13,18K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722065172137676891,Nov 8,,8,1,7,12K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1722041408587231715,Nov 8,Comment your answer,51,3,21,21K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721961039791845860,Nov 8,Share it if you solve.,37,6,23,20K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721949682585231515,Nov 7,Can you Solve it ?,44,6,31,25K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721913375595323568,Nov 7,,35,7,29,21K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721933113042059607,Nov 7,Can u crack this ???,9,3,6,8.9K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721913375595323568,Nov 7,,35,7,29,21K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721888968571232742,Nov 7,Can you solve,61,7,36,53K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721858647154934044,Nov 7,What the answer??,62,6,33,48K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721827253879980256,Nov 7,Fine the answer,61,9,35,74K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721803286087626948,Nov 7,Can you solve it ?,61,5,27,45K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721780369903738898,Nov 7,Can you solve ?,27,7,12,41K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721759917609234765,Nov 7,Can you solve this.??,9,3,15,27K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721732904781582703,Nov 7,Solve x,12,1,25,36K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721702295405298107,Nov 7,Comment your answer,33,7,27,44K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721632209172660417,Nov 7,,82,11,36,90K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721620502530384015,Nov 7,Solve for x,48,7,28,48K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721594565495496962,Nov 6,What’s X ?,72,18,41,54K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721586784877048254,Nov 6,Find. X,52,3,17,34K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721572229484535947,Nov 6,Solve for x,16,3,14,37K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721564121613914567,Nov 6,Math is a fun,85,19,39,74K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721539662958010555,Nov 6,Find the value of x,65,2,43,65K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721230087402758189,Nov 5,Take a Math Challenge!,69,4,32,41K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721212054454087841,Nov 5,What the answer??,3,6,,9.8K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721175966712487936,Nov 5,Solve this one,2,11,,13K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721151649845252097,Nov 5,Solve this,7,2,18,21K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721116335583928749,Nov 5,??,22,6,30,63K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721076780361240879,Nov 5,Find the number,18,5,22,56K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721043617727607061,Nov 5,,36,10,59,123K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1721011263936045305,Nov 5,Can you solve ?,64,2,21,29K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1720964787365163182,Nov 5,How many triangles do you see ?,56,5,36,65K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1720889181839520092,Nov 5,Solve this,12,3,29,40K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1720854495482257619,Nov 4,What the answer??,128,21,71,93K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1720840038647579019,Nov 4,Solve for D,46,11,35,49K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1720774951610065302,Nov 4,Find the answer,51,12,54,96K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1720742904338211275,Nov 4,Fine the value,17,6,20,36K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1720706442280452552,Nov 4,Can you solve this ??,37,3,158,50K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1720674845246235085,Nov 4,Find the value of abc,118,22,89,114K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1720644173446132094,Nov 4,Who is different?,19,4,14,25K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1720612401844826453,Nov 4,Can you find the answer?,36,3,14,40K
