Name,UserId,Followers,Following,Joined Date,Verified,UserId Url,Image
Elon Musk,@elonmusk,162.5M,477,2009,Yes,https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_400x400.jpg
Tim Cook,@tim_cook,14.7M,70,2013,Yes,https://twitter.com/tim_cook,https://pbs.twimg.com/profile_images/1535420431766671360/Pwq-1eJc_400x400.jpg
YouTube,@YouTube,79.5M,1176,2007,Yes,https://twitter.com/YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_400x400.jpg
Times of India,@timesofindia,14.7M,305,2010,Yes,https://twitter.com/timesofindia,https://pbs.twimg.com/profile_images/1619701646027792385/atwP27sC_400x400.png
BBC News(World),@BBCWORLD,40.4M,17,2007,Yes,https://twitter.com/BBCWORLD,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_400x400.jpg
Mr Beast,@MrBeast,24.6M,1951,2014,Yes,https://twitter.com/MrBeast,https://pbs.twimg.com/profile_images/994592419705274369/RLplF55e_400x400.jpg
Sundar Pichai,@sundarpichai,5.3M,142,2008,Yes,https://twitter.com/sundarpichai,https://pbs.twimg.com/profile_images/1710036756731510784/FyfFgM-B_400x400.jpg
Rishi Sunak,@RishiSunak,2.2M,274,2019,Yes,https://twitter.com/RIshiSunak,https://pbs.twimg.com/profile_images/1572638567381307394/AEahAxu5_400x400.jpg
Delhi Traffic Police,@dtptraffic,1.5 M,18,2010,Yes,https://twitter.com/dtptraffic,https://pbs.twimg.com/profile_images/1691678203486879745/YUTdhCiB_400x400.jpg
Barack Obama ,@BarackObama,132M,548800,2007,Yes,https://twitter.com/BarackObama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_400x400.jpg
SAS Airlines,@SAS,129.5K,48,2007,No,https://twitter.com/SAS,https://pbs.twimg.com/profile_images/1572520129224740866/BQfxdfYs_400x400.jpg
Troll Football,@TrollFootball,3.5M,624,2012,Yes,https://twitter.com/TrollFootball,https://pbs.twimg.com/profile_images/1612788418010042369/9wIHyK2z_400x400.jpg
Apple Hub,@theapplehub,774.4K,140,2014,Yes,https://twitter.com/theapplehub,https://pbs.twimg.com/profile_images/1521011653222932481/S1BEvjDb_400x400.jpg
IRCTC ,@IRCTCofficial,848.8K,47,2010,Yes,https://twitter.com/IRCTCofficial,https://pbs.twimg.com/profile_images/1702284329768853504/jjF0Lf0X_400x400.jpg
The Verge,@TheVerge,17.7K,"3,307",2009,No,https://twitter.com/TheVerge,https://pbs.twimg.com/profile_images/1569656103528448000/d0BzVIPL_400x400.jpg
Sana Saeed,@sanasaeed17,149.1K,209,2010,No,https://twitter.com/sanasaeed17,https://pbs.twimg.com/profile_images/977468648678920192/rzxl_2cx_400x400.jpg
Android Police,@AndroidPolice,674.9K,352,2009,No,https://twitter.com/AndroidPolice,https://pbs.twimg.com/profile_images/1509547258219479049/Lr3AvxTD_400x400.jpg
Android Central,@androidcentral,1.2M ,671,2008,Yes,https://twitter.com/androidcentral,https://pbs.twimg.com/profile_images/661679787799265280/BokwoEaG_400x400.png
"Excel Tips & Tricks
",@exceleducations,163.7K,"11,145",2022,Yes,https://twitter.com/exceleducations,https://pbs.twimg.com/profile_images/1499967258583437312/N9nqlaNj_400x400.jpg
Shan Masood,@shani_official,469.7K,547,2011,No,https://twitter.com/shani_official,https://pbs.twimg.com/profile_images/1258817359739080711/DfOZyNIJ_400x400.jpg
RVCJ Media,@RVCJ_FB,791.7K,1903,2014,Yes,https://twitter.com/RVCJ_FB,https://pbs.twimg.com/profile_images/1559752542372122624/6UiH4Ubt_400x400.jpg
Speed,@ishowspeedsui,2.5M,152,2018,Yes,https://twitter.com/ishowspeedsui,https://pbs.twimg.com/profile_images/1362579425804644353/8L3BctZn_400x400.jpg
Virat Kohli,@imVkohli,59M,61,2009,Yes,https://twitter.com/imVkohli,https://pbs.twimg.com/profile_images/1562753500726976514/EPSUNyR3_400x400.jpg